firebase_id,prolific_pid,session_id,sentence_set_id,total_time_taken,question_id,question_index,statement_id,statement_text,name,gender,uncertainty_expression,response,time_taken
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,29,21,possession_14,Jeffery believes it's almost certain that his boss has a collection of vintage books.,Jeffery,male,almost certain,95,4.644
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,2,22,future_2,Silvia believes it's probable that the company will have another round of lay-offs by mid July.,Silvia,female,probable,70,7.587
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,9,23,future_9,Marco believes it's not likely that his patient's symptoms will improve within the next two weeks.,Marco,male,not likely,30,12.838000000000001
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,11,24,future_11,Gary believes it's very unlikely that the defendant will be found guilty on all charges.,Gary,male,very unlikely,5,8.036
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,1,25,future_1,Ethel believes it's very likely that she will be offered a promotion this fall.,Ethel,female,very likely,95,3.618
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,19,26,possession_4,Nick believes it's somewhat likely that his boss has a stereo amplifier.,Nick,male,somewhat likely,55,4.596
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,23,27,possession_8,Olga believes it's unlikely that her boss has three pets.,Olga,female,unlikely,20,9.103
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,6,28,future_6,Nathan believes it's uncertain that the band will play his favorite song at the upcoming concert.,Nathan,male,uncertain,40,5.267
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,4,29,future_4,Kenny believes it's somewhat likely that he will visit New York over winter break.,Kenny,male,somewhat likely,70,5.851
280zzjPNAfUUIiDLw9kcR6hDYmf1,64f89ef9b3a1c4b51c4996f2,6616bba695f9bfb0c4334c11,2__future__possession,323.399,16,30,possession_1,Jessica believes it's very likely that her friend has a leather jacket.,Jessica,female,very likely,95,4.304
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,26,1,preference_11,Violet believes it's probable that her neighbor prefers dogs over cats.,Violet,female,probable,75,11.936
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,25,2,preference_10,Isaac believes it's very likely that his boss prefers working remotely over working in-person.,Isaac,male,very likely,85,8.666
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,16,3,preference_1,Jessica believes it's possible that her boss prefers coffee over tea.,Jessica,female,possible,50,7.1850000000000005
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,10,4,imperfect_knowledge_10,Roxanne believes it's very likely that the hiking trail is 10 miles long.,Roxanne,female,very likely,85,8.290000000000001
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,15,5,preference_0,Laura believes it's uncertain that her cousin prefers spinach over broccoli.,Laura,female,uncertain,50,11.746
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,22,6,preference_7,Raul believes his friend prefers stargazing over birdwatching.,Raul,male,control,100,13.249
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,8,7,imperfect_knowledge_8,Camille believes it's almost certain that she can derive the theorem presented in class today within 5 minutes.,Camille,female,almost certain,100,12.46
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,29,8,preference_14,Jeffery believes it's somewhat unlikely that his neighbor prefers dancing over singing.,Jeffery,male,somewhat unlikely,75,8.424
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,18,9,preference_3,Jacquelyn believes it's not likely that her neighbor prefers the beach over the mountains.,Jacquelyn,female,not likely,85,13.699
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,9,10,imperfect_knowledge_9,Marco believes it's highly likely that the local college baseball game starts at 9am on Sunday.,Marco,male,highly likely,95,5.246
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,24,11,preference_9,Bruce believes it's highly likely that his coworker prefers Chinese food over Mexican food.,Bruce,male,highly likely,95,4.093
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,0,12,imperfect_knowledge_0,Gabriela believes it's uncertain that the restaurant near her apartment accepts reservations.,Gabriela,female,uncertain,75,10.656
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,1,13,imperfect_knowledge_1,Ethel believes it's possible that the new museum is offering complimentary admission.,Ethel,female,possible,85,8.787
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,11,14,imperfect_knowledge_11,Gary believes it's probable that his flight will land around 6pm.,Gary,male,probable,75,4.678
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,28,15,preference_13,Tara believes it's somewhat likely that her cousin prefers headphones over earbuds.,Tara,female,somewhat likely,85,7.312
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,21,16,preference_6,Catherine believes it's highly unlikely that her boss prefers yoga over pilates.,Catherine,female,highly unlikely,95,4.392
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,17,17,preference_2,Amanda believes it's unlikely that her friend prefers running over cycling.,Amanda,female,unlikely,85,4.164
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,20,18,preference_5,Johnnie believes it's very unlikely that his cousin prefers summer over winter.,Johnnie,male,very unlikely,95,3.9330000000000003
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,2,19,imperfect_knowledge_2,Silvia believes it's unlikely that there is a yoga studio within 2 miles of her workplace.,Silvia,female,unlikely,90,4.446
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,7,20,imperfect_knowledge_7,Cheri believes her friend can do a handstand.,Cheri,female,control,100,4.473
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,3,21,imperfect_knowledge_3,Mike believes it's not likely that there are more than eighty students in the auditorium right now.,Mike,male,not likely,90,5.547
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,23,22,preference_8,Olga believes it's almost certain that her neighbor prefers sunrise over sunset.,Olga,female,almost certain,95,4.601
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,14,23,imperfect_knowledge_14,Joey believes it's somewhat unlikely that everything fits in his suitcase.,Joey,male,somewhat unlikely,75,5.876
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,12,24,imperfect_knowledge_12,Bonnie believes it's likely that she can recall the names of at least seventy countries.,Bonnie,female,likely,85,6.993
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,19,25,preference_4,Nick believes it's doubtful that his coworker prefers reading books over watching movies.,Nick,male,doubtful,95,7.626
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,6,26,imperfect_knowledge_6,Nathan believes it's highly unlikely that he can fix a flat tire.,Nathan,male,highly unlikely,95,3.184
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,27,27,preference_12,Brendan believes it's likely that his friend prefers science fiction books over fantasy books.,Brendan,male,likely,85,5.773
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,5,28,imperfect_knowledge_5,David believes it's very unlikely that his presentation on macroeconomics takes 45 minutes.,David,male,very unlikely,95,3.653
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,13,29,imperfect_knowledge_13,Lance believes it's somewhat likely that his boss meets the new client at least two times per week.,Lance,male,somewhat likely,70,5.939
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,652d5dcfbf51f8f449531f8d,6616bba9ff2b7fdefe82a4e5,8__imperfect_knowledge__preference,330.16,4,30,imperfect_knowledge_4,Kenny believes it's doubtful that the temperature in the office is at least 72 degrees Fahrenheit.,Kenny,male,doubtful,90,4.775
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,14,1,future_14,Joey believes it's very likely that the hotels nearby will be fully booked by mid January.,Joey,male,very likely,80,17.422
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,20,2,possession_5,Johnnie believes it's possible that his friend owns a pressure cooker.,Johnnie,male,possible,75,8.927
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,12,3,future_12,Bonnie believes it's almost certain that her landlord will increase her rent by the end of spring.,Bonnie,female,almost certain,95,8.099
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,3,4,future_3,Mike believes it's somewhat unlikely that there will be vegetarian options at the barbecue.,Mike,male,somewhat unlikely,10,14.519
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,9,5,future_9,Marco believes it's very unlikely that his patient's symptoms will improve within the next two weeks.,Marco,male,very unlikely,20,14.148
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,4,6,future_4,Kenny believes it's uncertain that he will visit New York over winter break.,Kenny,male,uncertain,0,9.252
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,0,7,future_0,Gabriela believes it's probable that she will buy a new watch this Thanksgiving weekend.,Gabriela,female,probable,90,6.36
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,10,8,future_10,Roxanne believes it's highly unlikely that her patient will survive another three months.,Roxanne,female,highly unlikely,0,5.9750000000000005
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,17,9,possession_2,Amanda believes it's somewhat likely that her cousin has a vegetable garden.,Amanda,female,somewhat likely,70,6.66
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,7,10,future_7,Cheri believes it's not likely that there will be pastries provided at the meeting next Monday.,Cheri,female,not likely,20,4.907
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,23,11,possession_8,Olga believes it's doubtful that her boss has three pets.,Olga,female,doubtful,0,5.22
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,6,12,future_6,Nathan believes it's unlikely that the band will play his favorite song at the upcoming concert.,Nathan,male,unlikely,10,4.668
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,11,13,future_11,Gary believes the defendant will be found guilty on all charges.,Gary,male,control,100,7.128
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,5,14,future_5,David believes it's possible that investing in his friend's startup will yield positive returns.,David,male,possible,85,5.5920000000000005
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,16,15,possession_1,Jessica believes it's likely that her friend has a leather jacket.,Jessica,female,likely,85,7.631
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,1,16,future_1,Ethel believes it's likely that she will be offered a promotion this fall.,Ethel,female,likely,80,4.223
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,28,17,possession_13,Tara believes it's highly likely that her friend has the right skills for the job.,Tara,female,highly likely,90,3.4090000000000003
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,19,18,possession_4,Nick believes it's uncertain that his boss has a stereo amplifier.,Nick,male,uncertain,10,5.3870000000000005
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,13,19,future_13,Lance believes it's highly likely that his coworkers will go on strike this year.,Lance,male,highly likely,90,6.924
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,8,20,future_8,Camille believes it's doubtful that her country will be impacted by a hurricane next year.,Camille,female,doubtful,20,6.888
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,2,21,future_2,Silvia believes it's somewhat likely that the company will have another round of lay-offs by mid July.,Silvia,female,somewhat likely,65,7.368
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,15,22,possession_0,Laura believes it's probable that her boss owns a blue car.,Laura,female,probable,65,4.595
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,18,23,possession_3,Jacquelyn believes it's somewhat unlikely that her classmate owns a guitar.,Jacquelyn,female,somewhat unlikely,25,4.955
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,27,24,possession_12,Brendan believes it's almost certain that his colleague has enough cash to invest in a local business.,Brendan,male,almost certain,95,5.329
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,29,25,possession_14,Jeffery believes it's very likely that his boss has a collection of vintage books.,Jeffery,male,very likely,80,3.767
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,22,26,possession_7,Raul believes it's not likely that his neighbors have two tickets to the concert in town next Friday.,Raul,male,not likely,20,4.213
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,24,27,possession_9,Bruce believes it's very unlikely that his friend has all the necessary gear for a camping trip.,Bruce,male,very unlikely,0,4.199
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,26,28,possession_11,Violet believes her coworker has a quiet space to practice meditation.,Violet,female,control,100,4.308
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,21,29,possession_6,Catherine believes it's unlikely that her cousin owns a blue bicycle.,Catherine,female,unlikely,0,3.444
LFvchTCl25WccxSONiOchoajHyl1,661087f9bb7ea2729dfa3a4e,6616bbb2d4ec4e3487fee45e,4__future__possession,296.66,25,30,possession_10,Isaac believes it's highly unlikely that his cousin owns a high-quality camera.,Isaac,male,highly unlikely,95,5.436
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,19,1,possession_4,Nick believes it's probable that his boss has a stereo amplifier.,Nick,male,probable,75,10.97
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,6,2,future_6,Nathan believes it's somewhat likely that the band will play his favorite song at the upcoming concert.,Nathan,male,somewhat likely,60,12.039
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,26,3,possession_11,Violet believes it's not likely that her coworker has a quiet space to practice meditation.,Violet,female,not likely,25,14.729000000000001
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,8,4,future_8,Camille believes it's uncertain that her country will be impacted by a hurricane next year.,Camille,female,uncertain,50,10.127
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,3,5,future_3,Mike believes it's very likely that there will be vegetarian options at the barbecue.,Mike,male,very likely,95,7.088
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,10,6,future_10,Roxanne believes it's unlikely that her patient will survive another three months.,Roxanne,female,unlikely,15,9.376
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,17,7,possession_2,Amanda believes it's highly likely that her cousin has a vegetable garden.,Amanda,female,highly likely,95,5.59
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,7,8,future_7,Cheri believes it's somewhat unlikely that there will be pastries provided at the meeting next Monday.,Cheri,female,somewhat unlikely,30,4.46
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,22,9,possession_7,Raul believes it's somewhat unlikely that his neighbors have two tickets to the concert in town next Friday.,Raul,male,somewhat unlikely,40,6.856
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,23,10,possession_8,Olga believes it's uncertain that her boss has three pets.,Olga,female,uncertain,50,11.668000000000001
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,15,11,possession_0,Laura believes her boss owns a blue car.,Laura,female,control,100,4.989
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,1,12,future_1,Ethel believes it's almost certain that she will be offered a promotion this fall.,Ethel,female,almost certain,95,5.745
7JUXq3W7H7REzi4S1Pn0jJLyBuL2,5b6bacf00afa6f000107210f,6616bbb3e88fd314a5dd6d77,0__future__possession,279.109,5,13,future_5,David believes it's likely that investing in his friend's startup will yield positive returns.,David,male,likely,90,4.656
